,FC_EMBIG,FC_EMBIG_DZ,FC_EMBIG_AO,FC_EMBIG_AR,FC_EMBIG_AM,FC_EMBIG_AZ,FC_EMBIG_BH,FC_EMBIG_BB_CTRY,FC_EMBIG_BY,FC_EMBIG_BZ,FC_EMBIG_BJ,FC_EMBIG_BO,FC_EMBIG_BR,FC_EMBIG_BG,FC_EMBIG_CM,FC_EMBIG_CL,FC_EMBIG_CN,FC_EMBIG_CO,FC_EMBIG_CR,FC_EMBIG_CI,FC_EMBIG_HR,FC_EMBIG_DO,FC_EMBIG_EC,FC_EMBIG_EG,FC_EMBIG_SV,FC_EMBIG_ET,FC_EMBIG_GA,FC_EMBIG_GE,FC_EMBIG_GH,FC_EMBIG_GR,FC_EMBIG_GT,FC_EMBIG_HN,FC_EMBIG_HU,FC_EMBIG_IN,FC_EMBIG_ID,FC_EMBIG_IQ,FC_EMBIG_JM,FC_EMBIG_JO,FC_EMBIG_KZ,FC_EMBIG_KE,FC_EMBIG_KW,FC_EMBIG_LV,FC_EMBIG_LB,FC_EMBIG_LT,FC_EMBIG_MY,FC_EMBIG_MV,FC_EMBIG_MX,FC_EMBIG_MN,FC_EMBIG_ME,FC_EMBIG_MA,FC_EMBIG_MZ,FC_EMBIG_NA,FC_EMBIG_NG,FC_EMBIG_OM,FC_EMBIG_PK,FC_EMBIG_PA,FC_EMBIG_PG,FC_EMBIG_PY,FC_EMBIG_PE,FC_EMBIG_PH,FC_EMBIG_PL,FC_EMBIG_QA,FC_EMBIG_RO,FC_EMBIG_RU,FC_EMBIG_RW,FC_EMBIG_SA,FC_EMBIG_SN,FC_EMBIG_CS,FC_EMBIG_SK,FC_EMBIG_ZA,FC_EMBIG_KR,FC_EMBIG_LK,FC_EMBIG_SR,FC_EMBIG_TJ,FC_EMBIG_TZ,FC_EMBIG_TH,FC_EMBIG_TT,FC_EMBIG_TN,FC_EMBIG_TR,FC_EMBIG_AE,FC_EMBIG_UA,FC_EMBIG_UY,FC_EMBIG_UZ,FC_EMBIG_VE,FC_EMBIG_VN,FC_EMBIG_ZM
Trade Date,Composite Index Weight (%),Algeria,Angola,Argentina,Armenia,Azerbaijan,Bahrain,Barbados,Belarus,Belize,Benin,Bolivia,Brazil,Bulgaria,Cameroon,Chile,China,Colombia,Costa Rica,Cote d Ivoire,Croatia,Dominican Republic,Ecuador,Egypt,El Salvador,Ethiopia,Gabon,Georgia,Ghana,Greece,Guatemala,Honduras,Hungary,India,Indonesia,Iraq,Jamaica,Jordan,Kazakhstan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Maldives,Mexico,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nigeria,Oman,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Slovak Republic,South Africa,South Korea,Sri Lanka,Suriname,Tajikistan,Tanzania,Thailand,Trinidad & Tobago,Tunisia,Turkey,UAE,Ukraine,Uruguay,Uzbekistan,Venezuela,Vietnam,Zambia
31-Dec-93,100,0,0,18.74395956,0,0,0,0,0,0,0,0,15.87279809,3.973153121,0,0,0,0,0,0,0,0,1.795974273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.40427555,0,0,3.088414059,0,0,4.96743388,0,0,0.580825458,0,0,1.959854799,5.214831541,2.557506825,0,0,5.575448996,0,0,0,0,0,0,2.916841654,0,0,0,0,0,0,0,0,0,0,0,0,13.34868219,0,0
31-Jan-94,100,0,0,18.98793077,0,0,0,0,0,0,0,0,16.92500817,4.160368964,0,0,0,0,0,0,0,0,1.75335335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.05982839,0,0,3.1870091,0,0,4.937254375,0,0,0.703020039,0,0,2.119289567,5.353335395,2.552690512,0,0,4.324566942,0,0,0,0,0,0,2.92650576,0,0,0,0,0,0,0,0,0,0,0,0,13.00983867,0,0
28-Feb-94,100,0,0,19.44604921,0,0,0,0,0,0,0,0,17.33707191,4.251296443,0,0,0,0,0,0,0,0,1.870579642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.82257299,0,0,3.133408972,0,0,4.66415034,0,0,0.704248607,0,0,2.02167456,5.175685109,2.449533912,0,0,3.6465161,0,0,0,0,0,0,3.120166231,0,0,0,0,0,0,0,0,0,0,0,0,12.35704597,0,0
31-Mar-94,100,0,0,19.49488103,0,0,0,0,0,0,0,0,15.78366543,3.740045512,0,0,1.767814324,0,0,0,0,0,1.698529043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.09822397,0,0,3.021498557,0,0,4.345288152,0,0,0.630621751,0,0,1.639746785,5.461080184,2.054405262,0,0,3.916227373,0,0,0,0,0,0,3.433157145,0,0,0,0,0,0,0,0,0,0,0,0,11.9148155,0,0
29-Apr-94,100,0,0,20.34965181,0,0,0,0,0,0,0,0,15.05473108,3.280839852,0,0,1.794448075,0,0,0,0,0,1.564003162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.80952003,0,0,3.356067723,0,0,4.329522469,0,0,0.525830351,0,0,1.411944487,5.822270727,2.154461451,0,0,4.165843742,0,0,0,0,0,0,3.504273544,0,0,0,0,0,0,0,0,0,0,0,0,11.87659149,0,0
31-May-94,100,0,0,20.03584683,0,0,0,0,0,0,0,0,14.81579991,3.343172811,0,0,1.657731037,0,0,0,0,0,1.699879231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.38762897,0,0,3.468634237,0,0,4.557716268,0,0,0.631433579,0,0,1.769312114,5.697707897,2.370343957,0,0,4.172104944,0,0,0,0,0,0,3.152798858,0,0,0,0,0,0,0,0,0,0,0,0,12.23988936,0,0
30-Jun-94,100,0,0,19.69799459,0,0,0,0,0,0,0,0,15.16475629,3.887726848,0,0,1.796967962,0,0,0,0,0,1.782985793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.86098154,0,0,3.562829225,0,0,4.252245174,0,0,0.616374628,0,0,1.814622775,5.843973454,1.986319619,0,0,4.29239757,0,0,0,0,0,0,3.392621806,0,0,0,0,0,0,0,0,0,0,0,0,11.04720273,0,0
29-Jul-94,100,0,0,20.19119981,0,0,0,0,0,0,0,0,16.08993761,2.879008352,0,0,1.838754851,0,0,0,0,0,1.872736031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5780621,0,0,3.558437971,0,0,3.901930955,0,0,0.592347771,0,0,1.881879684,6.027433163,1.999684326,0,0,4.038205431,0,0,0,0,0,0,3.388019186,0,0,0,0,0,0,0,0,0,0,0,0,10.16236276,0,0
31-Aug-94,100,0,0,19.51457126,0,0,0,0,0,0,0,0,17.23970439,3.242919164,0,0,1.667248961,0,0,0,0,0,2.227649131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.62152449,0,0,3.29941726,0,0,3.675783832,0,0,0.638193112,0,0,1.989252752,5.687118667,2.066089119,0,0,4.024132724,0,0,0,0,0,0,3.194070093,0,0,0,0,0,0,0,0,0,0,0,0,10.91232504,0,0
