Section,Indicator,Country,Frequency,Quarterly Code,Annual Code,Units,Notes
GDP,Real GDP (SA),Argentina,Q,S213NGPC@LATAM,S213NGPCA@LATAM,"Mn 2004 ARS","[VERIFY] Argentina is country code 213 in IFS-style mnemonics. Replace with your subscription's exact code."
GDP,Nominal GDP,Argentina,Q,S213NGDP@LATAM,S213NGDPA@LATAM,"Mn ARS","[VERIFY]"
GDP,EMAE Monthly Activity Index,Argentina,M,EMAE@ARGEN,EMAEA@ARGEN,"Index 2004=100","INDEC monthly activity proxy. [VERIFY] code; @ARGEN may differ on your subscription."
Inflation,CPI National (IPC nacional),Argentina,M,IPCNAC@ARGEN,IPCNACA@ARGEN,"Index Dec-2016=100","INDEC IPC nacional. Note: pre-2017 series has structural breaks (INDEC reform, suspension 2007-15)."
Inflation,Core CPI,Argentina,M,IPCCORE@ARGEN,IPCCOREA@ARGEN,"Index","[VERIFY]"
Inflation,Wholesale Price Index (IPIM),Argentina,M,IPIM@ARGEN,IPIMA@ARGEN,"Index","[VERIFY]"
Fiscal,Primary Fiscal Balance,Argentina,M,SPNFBAL@ARGEN,SPNFBALA@ARGEN,"Mn ARS","Sector Publico Nacional No Financiero. [VERIFY]"
Fiscal,Federal Tax Revenue,Argentina,M,RECNAC@ARGEN,RECNACA@ARGEN,"Mn ARS","[VERIFY]"
Fiscal,Public Debt (External + Domestic),Argentina,Q,DEUDPUB@ARGEN,DEUDPUBA@ARGEN,"USD Mn","[VERIFY]"
BoP,Current Account Balance,Argentina,Q,S213NCABA@LATAM,S213NCABAA@LATAM,"USD Mn","INDEC / BCRA. [VERIFY]"
BoP,Trade Balance,Argentina,M,EXPMP@ARGEN,EXPMPA@ARGEN,"USD Mn","Exports minus imports. [VERIFY]"
BoP,Foreign Direct Investment,Argentina,Q,FDIANN@ARGEN,FDIANNA@ARGEN,"USD Mn","[VERIFY]"
Reserves,BCRA International Reserves,Argentina,M,RESINT@ARGEN,RESINTA@ARGEN,"USD Mn","Banco Central de la República Argentina, total international reserves. [VERIFY]"
Reserves,Net International Reserves,Argentina,M,RESNET@ARGEN,RESNETA@ARGEN,"USD Mn","BCRA NIR (gross minus liabilities). [VERIFY]"
