date,px_last
2025-08-28,4150.01
2025-08-29,4152.69
2025-08-30,4148.5
2025-09-01,4136.91
2025-09-02,4130.54
2025-09-04,4117.74
2025-09-05,4117.55
2025-09-06,4132.73
2025-09-08,4125.92
2025-09-09,4117.57
2025-09-11,4122.54
2025-09-12,4125.92
2025-09-13,4126.28
2025-09-15,4114.2
2025-09-16,4112.95
2025-09-18,4120.39
2025-09-19,4103.35
2025-09-20,4096.95
2025-09-22,4073.23
2025-09-23,4056.85
2025-09-25,4033.84
2025-09-26,4030.12
2025-09-27,4014.0
2025-09-29,4016.35
2025-09-30,4017.33
2025-10-02,4014.18
2025-10-03,3983.07
2025-10-04,3975.7
2025-10-06,3974.21
2025-10-07,3974.67
2025-10-09,3955.4
2025-10-10,3948.76
2025-10-11,3936.11
2025-10-13,3925.5
2025-10-14,3937.33
2025-10-16,3926.73
2025-10-17,3925.43
2025-10-18,3935.14
2025-10-20,3927.23
2025-10-21,3924.99
2025-10-23,3925.41
2025-10-24,3925.27
2025-10-25,3909.66
2025-10-27,3909.67
2025-10-28,3925.07
2025-10-30,3905.6
2025-10-31,3915.0
2025-11-01,3915.53
2025-11-03,3906.93
2025-11-04,3930.03
2025-11-06,3938.27
2025-11-07,3922.97
2025-11-09,3922.96
2025-11-10,3928.97
2025-11-11,3925.8
2025-11-13,3933.09
2025-11-14,3931.39
2025-11-16,3938.49
2025-11-17,3954.84
2025-11-18,3945.83
2025-11-20,3950.24
2025-11-21,3942.89
2025-11-23,3942.63
2025-11-24,3926.59
2025-11-25,3917.84
2025-11-27,3913.7
2025-11-28,3922.69
2025-11-30,3934.64
2025-12-01,3916.96
2025-12-02,3905.64
2025-12-04,3911.61
2025-12-05,3885.9
2025-12-07,3878.55
2025-12-08,3875.59
2025-12-09,3888.89
2025-12-11,3895.37
2025-12-12,3889.65
2025-12-14,3883.43
2025-12-15,3878.64
2025-12-16,3895.13
2025-12-18,3888.2
2025-12-19,3882.76
2025-12-21,3885.2
2025-12-22,3881.96
2025-12-23,3877.8
